#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2503 3.2608E-03 1.6598E-03  -1.01   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 9.100 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  11  0.108648  3.5185  5.3169 -2.8156 16.3903 14.2912 12.8356 11.6670 11.2245 11.1028
  12  0.123086  3.5211  5.2538 -2.6880 16.0105 13.9237 12.4765 11.3438 10.9082 10.7865
  13  0.141203  3.5243  5.1900 -2.5518 15.5996 13.5262 12.0883 10.9973 10.5705 10.4489
  14  0.164296  3.5296  5.1362 -2.4113 15.1544 13.0919 11.6664 10.6357 10.2237 10.1033
  15  0.187710  3.5360  5.1004 -2.2920 14.7560 12.7014 11.2888 10.3251  9.9307  9.8129
  16  0.206164  3.5405  5.0745 -2.2070 14.4734 12.4259 11.0227 10.1048  9.7226  9.6070
  17  0.221448  3.5440  5.0544 -2.1417 14.2569 12.2155 10.8197  9.9358  9.5628  9.4490
  18  0.235421  3.5471  5.0374 -2.0861 14.0730 12.0370 10.6476  9.7919  9.4268  9.3147
  19  0.248812  3.5497  5.0221 -2.0363 13.9097 11.8789 10.4951  9.6635  9.3052  9.1945
  20  0.263993  3.5524  5.0071 -1.9847 13.7421 11.7164 10.3383  9.5310  9.1794  9.0702
  21  0.279484  3.5549  4.9930 -1.9358 13.5846 11.5634 10.1908  9.4054  9.0602  8.9525
  22  0.292920  3.5569  4.9806 -1.8948 13.4529 11.4356 10.0676  9.3000  8.9601  8.8537
  23  0.302908  3.5585  4.9711 -1.8644 13.3563 11.3417  9.9771  9.2224  8.8863  8.7808
  24  0.310266  3.5596  4.9641 -1.8426 13.2876 11.2748  9.9123  9.1668  8.8334  8.7285
  25  0.315843  3.5604  4.9590 -1.8265 13.2368 11.2250  9.8645  9.1256  8.7942  8.6898
  26  0.320216  3.5611  4.9548 -1.8138 13.1969 11.1863  9.8271  9.0934  8.7636  8.6596
  27  0.323887  3.5617  4.9514 -1.8031 13.1631 11.1534  9.7953  9.0662  8.7378  8.6340
  28  0.327645  3.5623  4.9481 -1.7926 13.1292 11.1205  9.7636  9.0391  8.7122  8.6087
  29  0.331800  3.5629  4.9446 -1.7810 13.0923 11.0844  9.7289  9.0097  8.6843  8.5811
  30  0.337084  3.5636  4.9405 -1.7668 13.0463 11.0395  9.6857  8.9730  8.6497  8.5471
  31  0.343189  3.5646  4.9356 -1.7502 12.9927 10.9878  9.6359  8.9307  8.6098  8.5077
  32  0.377279  3.5714  4.9011 -1.6477 12.6551 10.6592  9.3220  8.6689  8.3649  8.2664
  33  0.411832  3.5798  4.8617 -1.5367 12.2820 10.2971  8.9795  8.3856  8.1019  8.0081
  34  0.426307  3.5837  4.8436 -1.4879 12.1118 10.1352  8.8300  8.2608  7.9861  7.8945
  35  0.438018  3.5872  4.8283 -1.4467 11.9661  9.9968  8.7034  8.1556  7.8891  7.7992
  36  0.449754  3.5911  4.8131 -1.4046 11.8151  9.8533  8.5731  8.0480  7.7901  7.7024
  37  0.462495  3.5955  4.7966 -1.3580 11.6447  9.6919  8.4286  7.9286  7.6808  7.5953
  38  0.475563  3.6007  4.7799 -1.3089 11.4621  9.5197  8.2774  7.8032  7.5661  7.4833
  39  0.487967  3.6059  4.7647 -1.2616 11.2827  9.3511  8.1331  7.6824  7.4556  7.3752
  40  0.499135  3.6109  4.7518 -1.2187 11.1171  9.1958  8.0037  7.5732  7.3555  7.2775
  41  0.508922  3.6156  4.7412 -1.1809 10.9677  9.0560  7.8899  7.4768  7.2674  7.1916
  42  0.517769  3.6201  4.7321 -1.1462 10.8276  8.9255  7.7859  7.3885  7.1869  7.1131
  43  0.526470  3.6248  4.7238 -1.1117 10.6860  8.7934  7.6824  7.3009  7.1071  7.0354
  44  0.535781  3.6301  4.7156 -1.0746 10.5318  8.6484  7.5704  7.2069  7.0220  6.9526
  45  0.546189  3.6364  4.7073 -1.0332 10.3535  8.4831  7.4448  7.1016  6.9270  6.8603
  46  0.557673  3.6437  4.6996 -0.9872 10.1434  8.2952  7.3052  6.9847  6.8217  6.7584
  47  0.569536  3.6517  4.6933 -0.9393  9.8998  8.0934  7.1590  6.8622  6.7116  6.6523
  48  0.581546  3.6602  4.6877 -0.8908  9.6354  7.8876  7.0117  6.7378  6.5996  6.5446
