#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2550 6.2105E-03 3.1612E-03  -0.72   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE=12.700 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  13  0.117082  3.5141  5.2655 -2.7495 16.1414 14.2122 12.8042 11.5341 11.0448 10.9068
  14  0.136044  3.5153  5.1940 -2.6080 15.7447 13.8311 12.4294 11.1789 10.6924 10.5536
  15  0.158580  3.5178  5.1337 -2.4710 15.3480 13.4439 12.0502 10.8310 10.3519 10.2134
  16  0.180383  3.5219  5.0950 -2.3601 15.0052 13.1026 11.7187 10.5436 10.0767  9.9400
  17  0.197793  3.5254  5.0693 -2.2801 14.7526 12.8500 11.4737 10.3353  9.8790  9.7443
  18  0.212401  3.5281  5.0487 -2.2176 14.5555 12.6536 11.2833 10.1726  9.7244  9.5913
  19  0.225933  3.5306  5.0310 -2.1632 14.3832 12.4819 11.1171 10.0311  9.5901  9.4584
  20  0.239162  3.5330  5.0152 -2.1132 14.2241 12.3234 10.9639  9.9008  9.4668  9.3366
  21  0.253538  3.5355  4.9997 -2.0628 14.0643 12.1639 10.8100  9.7695  9.3425  9.2138
  22  0.268802  3.5380  4.9849 -2.0127 13.9056 12.0054 10.6572  9.6393  9.2194  9.0923
  23  0.283796  3.5404  4.9711 -1.9657 13.7568 11.8572 10.5142  9.5175  9.1041  8.9784
  24  0.296323  3.5423  4.9598 -1.9278 13.6372 11.7382 10.3992  9.4194  9.0113  8.8868
  25  0.305891  3.5438  4.9515 -1.8997 13.5486 11.6500 10.3139  9.3467  8.9426  8.8191
  26  0.312731  3.5448  4.9455 -1.8798 13.4866 11.5879 10.2539  9.2956  8.8943  8.7715
  27  0.317690  3.5455  4.9411 -1.8656 13.4422 11.5436 10.2111  9.2590  8.8596  8.7373
  28  0.321487  3.5462  4.9378 -1.8548 13.4082 11.5095 10.1781  9.2310  8.8333  8.7113
  29  0.324606  3.5467  4.9350 -1.8457 13.3795 11.4808 10.1505  9.2076  8.8112  8.6896
  30  0.327636  3.5472  4.9320 -1.8367 13.3512 11.4524 10.1231  9.1843  8.7892  8.6680
  31  0.330821  3.5477  4.9292 -1.8276 13.3224 11.4234 10.0952  9.1607  8.7672  8.6462
  32  0.334740  3.5483  4.9260 -1.8167 13.2879 11.3887 10.0619  9.1325  8.7407  8.6202
  33  0.339337  3.5490  4.9221 -1.8040 13.2476 11.3482 10.0229  9.0995  8.7096  8.5897
  34  0.345315  3.5500  4.9170 -1.7874 13.1948 11.2951  9.9719  9.0565  8.6693  8.5499
  35  0.388218  3.5593  4.8763 -1.6604 12.7869 10.8717  9.5669  8.7246  8.3636  8.2513
  36  0.417981  3.5662  4.8436 -1.5664 12.4786 10.5633  9.2710  8.4833  8.1403  8.0324
  37  0.436578  3.5713  4.8215 -1.5046 12.2741 10.3559  9.0719  8.3244  7.9950  7.8903
  38  0.446208  3.5743  4.8093 -1.4710 12.1649 10.2402  8.9586  8.2377  7.9170  7.8144
  39  0.455680  3.5775  4.7972 -1.4377 12.0556 10.1259  8.8476  8.1521  7.8400  7.7393
  40  0.465464  3.5807  4.7849 -1.4032 11.9399 10.0062  8.7330  8.0632  7.7598  7.6611
  41  0.475980  3.5843  4.7716 -1.3655 11.8122  9.8752  8.6088  7.9664  7.6728  7.5764
  42  0.487112  3.5883  4.7577 -1.3251 11.6730  9.7327  8.4752  7.8621  7.5793  7.4853
  43  0.498431  3.5928  4.7438 -1.2834 11.5275  9.5840  8.3380  7.7544  7.4829  7.3917
  44  0.509637  3.5975  4.7305 -1.2419 11.3813  9.4341  8.2019  7.6472  7.3870  7.2984
  45  0.520595  3.6023  4.7181 -1.2011 11.2375  9.2854  8.0681  7.5420  7.2933  7.2074
  46  0.531385  3.6072  4.7064 -1.1607 11.0936  9.1359  7.9349  7.4376  7.2006  7.1174
  47  0.541987  3.6125  4.6956 -1.1204 10.9479  8.9839  7.8023  7.3337  7.1084  7.0281
  48  0.552572  3.6181  4.6854 -1.0795 10.7978  8.8269  7.6686  7.2283  7.0154  6.9376
  49  0.563312  3.6241  4.6757 -1.0376 10.6383  8.6624  7.5319  7.1205  6.9201  6.8453
  50  0.574215  3.6304  4.6667 -0.9948 10.4667  8.4905  7.3930  7.0103  6.8229  6.7511
  51  0.585138  3.6372  4.6588 -0.9515 10.2790  8.3115  7.2526  6.8989  6.7246  6.6559
  52  0.590735  3.6409  4.6552 -0.9291 10.1737  8.2166  7.1800  6.8411  6.6734  6.6065
  53  0.596259  3.6446  4.6518 -0.9068 10.0646  8.1213  7.1083  6.7835  6.6225  6.5576
  54  0.601702  3.6484  4.6488 -0.8848  9.9526  8.0265  7.0377  6.7266  6.5719  6.5089
  55  0.607066  3.6521  4.6459 -0.8630  9.8369  7.9324  6.9686  6.6700  6.5216  6.4605
  56  0.612358  3.6558  4.6430 -0.8416  9.7194  7.8402  6.9011  6.6141  6.4713  6.4124
  57  0.617588  3.6595  4.6401 -0.8204  9.6012  7.7498  6.8353  6.5588  6.4214  6.3645
  58  0.622753  3.6630  4.6371 -0.7996  9.4832  7.6617  6.7712  6.5044  6.3720  6.3172
  59  0.627852  3.6664  4.6339 -0.7790  9.3657  7.5757  6.7088  6.4507  6.3232  6.2704
