,Stream,Coverage Fraction,Min RA,Max RA,Min DEC,Max DEC
2,300S-F18,0.9538461538461539,151.80000501357952,163.17000930877413,14.448968680194918,14.448968680194918
4,ACS-R21,0.9881756756756757,124.98247840952223,154.39841805705242,23.950044565488366,23.950044565488366
5,Acheron-G09,1.0,230.00000000000006,258.99999999999994,-1.9999999999999754,-1.9999999999999754
7,Aquarius-W11,0.9191176470588235,338.7831993505229,351.0692596864032,-9.924148342400178,-9.924148342400178
9,C-5-I21,0.9863013698630136,113.35053109462348,119.80309502497622,33.59945430352415,33.59945430352415
13,Cetus-Y13,0.8441926345609065,20.008469246906145,32.22085837770322,-4.119747000087533,-4.119747000087533
14,Cocytos-G09,0.99,185.99999999999997,259.0,-2.9999999999999893,-2.9999999999999893
17,Eridanus-M17,1.0,65.97858431221825,66.39221568778181,-21.416713332935693,-21.416713332935693
20,Gaia-4-M18,0.7653061224489796,163.0,167.0,-11.000000000000023,-11.000000000000023
21,Gaia-5-M18,0.965,136.99999999999997,154.0,22.999999999999968,22.999999999999968
23,Hermus-G14,0.9941747572815534,241.5067974629291,253.19114211446202,4.999980848603858,4.999980848603858
24,Hyllus-G14,0.9963636363636363,245.79540481905855,249.05813711432242,11.000736150918565,11.000736150918565
26,Lethe-G09,0.95,171.00000000000003,258.0,18.000000000000014,18.000000000000014
27,M3-Y23,0.9775280898876404,188.97486664665075,237.77095314954693,24.028869929020484,24.028869929020484
30,Monoceros-R21,0.7640918580375783,78.53515334543684,117.15464859587463,30.55973558609988,30.55973558609988
32,NGC5053-L06,1.0,194.99999999999997,199.1,14.999999999999986,14.999999999999986
36,PS1-A-B16,0.9836065573770492,28.38512389565407,30.130044497006246,-6.497929446580389,-6.497929446580389
38,PS1-C-B16,0.9761904761904762,330.2156364472797,334.9342779172461,11.71171899023193,11.71171899023193
39,PS1-D-B16,0.7865961199294532,138.6626379764259,140.70097966798454,-21.599120509970525,-21.599120509970525
40,PS1-E-B16,0.9921875,160.12229900840117,192.98532176432212,46.15320632803631,46.15320632803631
41,Pal13-S20,0.822429906542056,344.3,350.2,8.899999999999997,8.899999999999997
44,Parallel-W18,0.9975186104218362,156.19547562183433,192.7993800512803,0.028313991964308883,0.028313991964308883
45,Pegasus-P19,1.0,328.3440426147909,333.37118023476995,20.876419268931837,20.876419268931837
46,Perpendicular-W18,0.9717741935483871,181.6569980862301,186.0140981731754,7.473164850750778,7.473164850750778
50,Sangarius-G17,0.808,131.54665273434023,134.0376408647587,-17.601067656625567,-17.601067656625567
51,Scamander-G17,0.776500638569604,143.56740157551886,151.6280627496477,-20.455832380737718,-20.455832380737718
52,Spectre-C22,1.0,211.63721090534523,218.59563604618796,37.98105835469384,37.98105835469384
53,Styx-G09,0.99,194.0,259.0,20.0,20.0
54,Tri-Pis-B12,0.7350993377483444,20.999989215121172,23.99999107143426,22.899999939109737,22.899999939109737
56,Turranburra-S19,0.6482758620689655,59.707969852414685,72.58763057452681,-25.2759105399992,-25.2759105399992
59,Yangtze-Y23,0.8434782608695652,146.03535302135117,147.814924,-13.000000000000044,-13.000000000000044
