,SF3 Stream Index,Stream,# SF3 Stars,# SF3 Stars in DESI,# of SF3 Stars with VHel,Galstream Stream name,Min RA,Max RA,Max DEC,Min DEC,Metallicities
6,6,Kwando,138.0,11.0,62.0,Kwando-I21,12.736872,39.300198,-44.109708,18.193775,-2.29
8,8,New-2,90.0,7.0,18.0,New-2-I24,2.836541,65.052576,-3.902456,15.657904,-2.07
10,10,Gaia-12,46.0,2.0,5.0,Gaia-12-I21,20.69313,44.655956,13.127172,32.818713,-3.28
17,17,New-3,120.0,1.0,10.0,New-3-I24,64.151506,132.900534,-26.70271,5.981048,-2.71
19,19,Leiptr,412.0,16.0,37.0,Leiptr-I21,59.139243,121.344814,-46.514652,1.831448,-2.17
22,22,New-6,146.0,5.0,12.0,New-6-I24,26.47916,173.789652,39.820255,80.947273,-2.18
24,24,C-25,121.0,17.0,25.0,C-25-I24,97.614548,127.679484,30.199884,48.672118,-2.3
25,25,C-11,112.0,8.0,9.0,C-11-I24,94.236737,131.215409,29.435226,58.525312,-2.91
27,27,New-7,37.0,1.0,11.0,New-7-I24,128.687451,156.419314,21.916976,25.860227,-2.23
29,29,New-9,10.0,1.0,7.0,New-9-I24,140.936082,149.196244,28.893499,32.507278,-1.95
30,30,C-10,158.0,35.0,5.0,C-10-I24,144.105355,147.710425,-5.592335,10.468529,-0.91
31,31,New-10,47.0,2.0,7.0,New-10-I24,141.599274,150.346794,-27.752555,-3.06898,-0.99
32,32,New-11,18.0,2.0,6.0,New-11-I24,152.398876,154.919191,33.133981,40.122035,-2.03
33,33,Gaia-10,141.0,1.0,26.0,Gaia-10-I21,143.422563,169.088283,13.249635,18.899606,-1.4
34,34,Gjoll,607.0,14.0,40.0,NGC3201-P21,53.769386,163.626584,-48.481468,14.434399,-1.63
35,35,C-9,183.0,5.0,35.0,C-9-I24,142.349665,167.85534,12.275879,29.38186,-0.72
36,36,C-24,244.0,34.0,27.0,C-24-I24,142.778603,170.49926,35.125417,70.221412,-0.93
39,39,Slidr,330.0,48.0,34.0,Slidr-I21,144.862071,178.301508,-1.879889,20.37817,-1.7
41,41,Ylgr,919.0,21.0,20.0,Ylgr-I21,163.849205,186.033488,-40.569679,3.687783,-2.09
42,42,Sylgr,256.0,101.0,33.0,Sylgr-I21,163.064711,190.127498,-13.941098,3.623421,-2.92
43,43,New-15,152.0,14.0,23.0,New-15-I24,167.001953,185.886639,3.325631,18.395781,-2.01
44,44,Gaia-7,282.0,18.0,15.0,Gaia-7-I21,176.426825,187.439642,-23.276084,-11.032517,-0.88
47,47,Fjorm,297.0,32.0,29.0,M68-P19,192.165339,283.485397,-15.014256,71.946436,-2.23
48,48,Orphan,867.0,39.0,247.0,Orphan-K23,134.837765,336.353254,-76.715486,58.518333,-1.9
49,49,Gaia-1,200.0,32.0,28.0,Gaia-1-I21,180.701579,205.550677,-22.602354,10.912889,-1.8
50,50,C-23,29.0,7.0,6.0,C-23-I24,188.448292,200.330224,34.769446,53.701066,-2.36
51,51,LMS-1,358.0,40.0,29.0,LMS1,200.574723,270.296474,16.416447,31.719577,-2.09
52,52,C-22,39.0,6.0,11.0,C-22-I24,194.131184,207.757825,15.623285,18.605292,-2.05
53,53,GD-1,1468.0,245.0,323.0,GD-1-I21,120.997761,231.518471,-20.791694,59.880687,-2.49
54,54,Fimbulthul,3724.0,9.0,29.0,False,183.236723,224.741053,-49.454486,-19.925979,-1.53
57,57,NGC5466,43.0,1.0,6.0,NGC5466-J21,202.633676,224.693103,20.37237,32.664867,-1.98
58,58,New-18,107.0,3.0,1.0,New-18-I24,208.420738,217.487865,15.803649,25.873485,-0.94
59,59,Gaia-6,145.0,49.0,14.0,Gaia-6-I21,204.928048,224.045477,25.763784,39.002628,-1.53
60,60,New-19,40.0,12.0,4.0,New-19-I24,218.138594,224.963074,31.680835,36.860769,-0.79
61,61,Pal-5,129.0,24.0,69.0,Pal5,220.544638,245.611635,-9.994519,9.757662,-1.41
62,62,M5,91.0,6.0,11.0,M5-G19,189.114681,221.152814,7.063281,20.221363,-1.29
63,63,Kshir,141.0,3.0,7.0,Kshir-I21,203.706586,280.168472,53.872632,68.835087,-1.83
64,64,Svol,234.0,21.0,16.0,Svol-I21,208.356286,269.059825,12.722577,29.937075,-1.98
65,65,Gaia-9,233.0,6.0,25.0,Gaia-9-I21,211.363213,248.478518,40.282012,72.768804,-2.21
66,66,Ophiuchus,391.0,2.0,72.0,Ophiuchus-C20,237.509741,247.164312,-10.625609,-6.194597,-1.98
68,68,M92,202.0,27.0,23.0,M92-I21,252.479427,274.081524,37.028964,47.987856,-2.31
70,70,Gaia-11,84.0,5.0,3.0,Gaia-11-I21,251.70262,281.983133,18.078646,64.539105,-1.19
71,71,Hrid,666.0,22.0,29.0,Hrid-I21,267.839262,296.649008,5.436429,82.472705,-1.13
74,74,New-21,762.0,43.0,3.0,New-21-I24,313.189416,322.911876,6.667862,14.882093,-0.87
75,75,Phlegethon,632.0,38.0,41.0,Phlegethon-I21,301.317983,330.184739,-55.914582,18.772081,-2.19
80,80,New-24,56.0,1.0,7.0,New-24-I24,331.970644,335.425101,-13.480753,-9.052557,-0.64
82,82,New-26,43.0,7.0,4.0,New-26-I24,336.759301,346.73334,27.772251,32.407806,-0.17
85,85,C-19,46.0,1.0,12.0,C-19-I21,346.203224,355.682955,-10.696533,36.105104,-3.58
